,case,predicted,real
0,grid9_1bh-6_2019-02-13_19:15_,61.111111111111114% normal,BH
1,grid9_1bh-6_2019-02-13_12:59_,86.11111111111111% normal,BH
2,grid9_normal_2019-02-13_18:51_,100.0% normal,normal
3,grid9_normal_2019-02-13_22:23_,100.0% normal,normal
4,grid9_normal_2019-02-13_17:05_,97.22222222222221% normal,normal
5,grid9_1bh-7_2019-02-13_20:02_,75.0% normal,BH
6,grid9_1bh-7_2019-02-13_15:08_,88.88888888888889% normal,BH
7,rnd_1gh-2_2019-02-16_08:37_,88.88888888888889% normal,BH
8,rnd_1bh-2_2019-02-14_15:38_,80.55555555555556% normal,BH
9,rnd_1bh-7_2019-02-14_13:57_,94.44444444444444% normal,BH
10,rnd_1bh-9_2019-02-14_15:15_,22.22222222222222% normal,BH
11,rnd_1gh-9_2019-02-16_10:36_,36.11111111111111% normal,BH
12,rnd_normal_2019-02-14_13:37_,88.88888888888889% normal,normal
13,rnd_1gh-7_2019-02-16_10:16_,94.44444444444444% normal,BH
14,grid_1gh-7_2019-02-15_21:28_,94.44444444444444% normal,BH
15,grid_1gh-9_2019-02-15_19:19_,72.22222222222221% normal,BH
16,grid_1gh-5_2019-02-15_22:09_,86.11111111111111% normal,BH
17,grid_1gh-6_2019-02-15_18:25_,91.66666666666666% normal,BH
18,grid9_1bh-9_2019-02-13_19:35_,83.33333333333334% normal,BH
19,grid9_1bh-9_2019-02-13_15:57_,94.44444444444444% normal,BH
20,grid9_1bh-5_2019-02-13_21:44_,86.11111111111111% normal,BH
21,grid9_1bh-5_2019-02-13_15:31_,94.44444444444444% normal,BH
22,rnd2_1bh-3_2019-02-14_17:02_,77.77777777777779% normal,BH
23,rnd2_1bh-6_2019-02-15_16:56_,80.55555555555556% normal,BH
24,rnd2_normal_2019-02-14_16:07_,94.44444444444444% normal,normal
25,rnd-2_1gh-3_2019-02-16_11:41_,75.0% normal,BH
26,rnd2_1bh-8_2019-02-15_17:28_,100.0% normal,BH
27,grid_1gh-3_2019-02-15_22:33_,30.555555555555557% normal,BH
28,grid9_1bh-3_2019-02-13_16:28_,11.11111111111111% normal,BH
29,grid9_1bh-3_2019-02-13_22:05_,11.11111111111111% normal,BH
